"","sample","diversity"
"diversity","Cjian1_BDME190026006",23.0104773050184
"diversity1","Cjian2_BDME190025878",23.0332848233473
"diversity2","Cjian3_BDME190025999",23.0117174599399
"diversity3","Cjian4_BDME190026011",23.243347114154
"diversity4","Cjian5_BDME190026015",22.97336479642
"diversity5","Cshang1_BDME190026004",23.2113780208051
"diversity6","Cshang2_BDME190026008",22.9537718996196
"diversity7","Cshang3_BDME190025998",23.3443773278425
"diversity8","Cshang4_BDME190026010",23.094914483914
"diversity9","Cshang5_BDME190601163",22.9595550236801
"diversity10","Ctu1_BDME190026003",23.111268737026
"diversity11","Ctu3_BDME190025997",22.8972521101017
"diversity12","Ctu4_BDME190026009",23.0196300395186
"diversity13","Ctu5_BDME190026013",23.115194123943
"diversity14","Cxia1_BDME190026007",22.8325998936702
"diversity15","Cxia2_BDME190025877",22.9541091295525
"diversity16","Cxia3_BDME190026000",23.1767024696048
"diversity17","Cxia4_BDME190026012",23.1009771150162
"diversity18","Cxia5_BDME190026016",23.0608919952138
"diversity19","ERR1051325",23.8799569350759
"diversity20","ERR436053",24.2885404107273
"diversity21","ERR436055",23.7989236667872
"diversity22","ERR436057",23.6764565019895
"diversity23","ERR436058",24.2472238942343
"diversity24","s1_FDMS190655335",23.3821683285213
"diversity25","S1",23.2962081012772
"diversity26","S10",23.3091995023443
"diversity27","S107",23.2533246196575
"diversity28","S108",23.024455402118
"diversity29","S109",22.9852790139096
"diversity30","s11_FDMS190655341",23.4496132102648
"diversity31","S11",23.1515051645454
"diversity32","S112",23.1433865425656
"diversity33","S113",23.0107385112602
"diversity34","S114",23.2568355649231
"diversity35","S118",21.5423537536871
"diversity36","s12_FDMS190655342",23.4581677672193
"diversity37","S12",22.8291578604228
"diversity38","S120",22.7369759535142
"diversity39","S121",23.310397681937
"diversity40","S122",23.2339000695322
"diversity41","S125",23.2164250555788
"diversity42","S126",23.1976338157102
"diversity43","S127",23.3791098050845
"diversity44","S128",23.2510127327534
"diversity45","S129",23.1904074337894
"diversity46","s13_FDMS190655343",23.4469836741501
"diversity47","S13",23.1929117233416
"diversity48","S130",23.2049262327406
"diversity49","S132",23.4370381712301
"diversity50","S134",22.7875960717618
"diversity51","S135",22.95148405142
"diversity52","S136",22.7170944475751
"diversity53","S137",23.3939920640965
"diversity54","S139",23.38378500256
"diversity55","S14",22.9599498984637
"diversity56","S140",23.2057305412205
"diversity57","S141",22.3992803761758
"diversity58","S142",23.3800506759424
"diversity59","S143",23.1417630149423
"diversity60","S145",23.5399173514953
"diversity61","S155",23.5797314311864
"diversity62","s16_FDMS190655344",23.2985707686232
"diversity63","S16",22.9543307944453
"diversity64","S162",22.9702283801983
"diversity65","S163",23.5301936641019
"diversity66","S165",22.9634678356047
"diversity67","S168",23.1615759431736
"diversity68","s17_FDMS190655345",23.2699826117677
"diversity69","S17",22.9926824878458
"diversity70","S171",23.1617924251478
"diversity71","S173",23.6604402177004
"diversity72","S174",23.4608417510316
"diversity73","S175",22.6440564613026
"diversity74","S176",23.2741109323458
"diversity75","S177",23.1363620692225
"diversity76","S178",23.0530316876974
"diversity77","S179",22.6649051270576
"diversity78","s18_FDMS190655346",23.3466697788458
"diversity79","S18",22.9913530169672
"diversity80","S180",23.343459868153
"diversity81","S182",23.3217698180273
"diversity82","S184",23.5593134542336
"diversity83","S185",23.0084464550436
"diversity84","S186",23.3218492242008
"diversity85","S187",23.6643059223908
"diversity86","S188",23.5222940606934
"diversity87","S191",22.1767914650867
"diversity88","S193",23.1552774478494
"diversity89","S199",23.540592681762
"diversity90","s2_FDMS190655336",23.2643076279115
"diversity91","S2",22.7002707225297
"diversity92","S20",22.467497370726
"diversity93","S209",23.3267187456564
"diversity94","s21_FDMS190655347",23.6190400537567
"diversity95","S21",22.827971416818
"diversity96","S211",22.7367595893743
"diversity97","S212",22.7609429267748
"diversity98","S213",23.2786392971517
"diversity99","S215",23.2915906413285
"diversity100","s22_FDMS190655348",23.6244544960523
"diversity101","S22",23.5020106435486
"diversity102","S223",23.2189978265461
"diversity103","S225",23.0552219101841
"diversity104","S226",22.7179199780198
"diversity105","S227",22.6934195437225
"diversity106","S228",23.3456532351452
"diversity107","s23_FDMS190655349",23.1149778421139
"diversity108","S23",23.6363629365679
"diversity109","S233",23.3385747281043
"diversity110","S234",23.1714420975139
"diversity111","S237",22.6867000199892
"diversity112","S238",23.053731232237
"diversity113","S239",23.3017314069543
"diversity114","S24",23.5353842064506
"diversity115","S242",23.5647846824463
"diversity116","S244",22.4458985849811
"diversity117","S245",23.5949071199472
"diversity118","S246",22.9091654783603
"diversity119","S248",23.3255031088258
"diversity120","S249",23.5025992312361
"diversity121","S25",22.6451757065627
"diversity122","S250",23.6339974337885
"diversity123","S251",23.0957004908608
"diversity124","S252",23.4743660809638
"diversity125","S253",23.6969393701484
"diversity126","S256",23.3854869372225
"diversity127","S257",23.5518243828232
"diversity128","S258",22.4137502774951
"diversity129","s26_FDMS190655350",23.351869545616
"diversity130","S260",23.6639046930537
"diversity131","S261",22.4339378734401
"diversity132","S262",23.3549166125715
"diversity133","S263",23.6004911625233
"diversity134","S264",22.0845702264453
"diversity135","S265",23.6619235847472
"diversity136","S268",23.1191681965254
"diversity137","S269",23.6465582465128
"diversity138","s27_FDMS190655351",23.2918957659136
"diversity139","S270",23.4607942897867
"diversity140","S271",23.4748362809362
"diversity141","S274",23.4783154531194
"diversity142","S276",23.1378206261565
"diversity143","S277",23.4624282256954
"diversity144","S279",23.5985243051356
"diversity145","s28_FDMS190655352",23.2928189237498
"diversity146","S28",23.3898895633143
"diversity147","S281",23.4792962338327
"diversity148","S283",23.5404414517486
"diversity149","S284",23.4085453499714
"diversity150","S285",23.4683381008231
"diversity151","S286",23.5265034094522
"diversity152","S287",23.577998728466
"diversity153","S288",23.034166301206
"diversity154","S29",22.7969483353279
"diversity155","S290",23.1124522903786
"diversity156","S296",23.3921086971974
"diversity157","S297",23.2502829905022
"diversity158","s3_FDMS190655337",23.3176348996866
"diversity159","S3",23.0652975427434
"diversity160","S308",22.8713627368678
"diversity161","S309",23.0871672510086
"diversity162","s31_FDMS190655353",23.626116069286
"diversity163","S310",23.6324923113255
"diversity164","S311",23.4986828485148
"diversity165","S312",22.9874724782969
"diversity166","S313",23.1941164679849
"diversity167","S315",23.2835103539595
"diversity168","S317",23.4189707435879
"diversity169","S318",23.5954321875694
"diversity170","s32_FDMS190655354",23.5471402615421
"diversity171","S32",22.8309575746816
"diversity172","S321",23.4041018422471
"diversity173","S324",22.557908258601
"diversity174","S325",23.6070829522488
"diversity175","S326",23.5114841373346
"diversity176","S328",23.6798048823672
"diversity177","S329",22.9565900067143
"diversity178","s33_FDMS190655355",23.39373553258
"diversity179","S330",23.4265114823151
"diversity180","S331",23.2708628868484
"diversity181","S332",23.6845124480485
"diversity182","S333",23.3339445124012
"diversity183","S334",23.3953217576417
"diversity184","S335",22.7279505144409
"diversity185","S339",23.3890952217566
"diversity186","S340",22.1852079839547
"diversity187","S342",23.6579141305748
"diversity188","S344",23.5943990349497
"diversity189","S35",23.3900588401172
"diversity190","S351",22.4664176033855
"diversity191","S354",23.4009364778734
"diversity192","S361",23.2322116651971
"diversity193","S363",23.4765635632105
"diversity194","S366",21.7638794781178
"diversity195","S369",23.7612740632717
"diversity196","S37",23.3273619874931
"diversity197","S379",23.6014488828956
"diversity198","S38",23.2596258802188
"diversity199","S380",23.6175030505834
"diversity200","S381",22.8511090203991
"diversity201","S383",22.9972373149719
"diversity202","S384",23.4210028268273
"diversity203","S385",23.5575423377071
"diversity204","S386",23.2125953298261
"diversity205","S387",22.0945121012268
"diversity206","S389",23.8087069607372
"diversity207","S390",22.8494968082912
"diversity208","S391",23.5306461892003
"diversity209","S393",23.4557394160284
"diversity210","S394",23.6244707846363
"diversity211","S4",23.0548252213992
"diversity212","S400",23.0298965631084
"diversity213","S401",23.5326768689736
"diversity214","S402",23.4131244820715
"diversity215","S403",23.4076270759967
"diversity216","S404",23.3060910111965
"diversity217","S405",23.6109101764852
"diversity218","S406",22.7089199737836
"diversity219","S408",23.2137980895989
"diversity220","S41_BDMS190062376",23.2551667521045
"diversity221","S412",23.5137497585586
"diversity222","S42_BDMS190062377",22.6414039818408
"diversity223","S42",23.4241492116395
"diversity224","S43_BDMS190062378",21.912972707381
"diversity225","S44_BDMS190062379",23.1684482997656
"diversity226","S45_BDMS190062380",23.1371354352621
"diversity227","S46",23.2403916428087
"diversity228","S47",23.2347478597612
"diversity229","S48",23.4241535534928
"diversity230","S49",23.3760642593764
"diversity231","S5",21.9696719269171
"diversity232","S50",23.1311578015748
"diversity233","S51",23.3504841152845
"diversity234","S52",23.3871936047083
"diversity235","S56",22.9627871117306
"diversity236","S57",23.4897526275429
"diversity237","S58_BDME190601153",22.3747653127247
"diversity238","S58",23.3023250341035
"diversity239","S59",23.107393571936
"diversity240","s6_FDMS190655338",23.3373927382638
"diversity241","S6",23.0246149583448
"diversity242","S60_BDME190601155",22.5742280365547
"diversity243","S60",23.1476679030336
"diversity244","S61_BDME190601156",22.1968527338415
"diversity245","S61_BDMS190062396",23.2292721558518
"diversity246","S61",23.2602613189369
"diversity247","S62_BDMS190062397",23.1791505414135
"diversity248","S62",22.5418509346746
"diversity249","S63_BDMS190062398",22.9812872945973
"diversity250","S63",23.3051377998419
"diversity251","S64_BDME190601159",22.3264465411337
"diversity252","S64_BDMS190062399",23.3901357511415
"diversity253","S65_BDMS190062400",23.4708481250988
"diversity254","S66_BDMS190062401",23.2455838081715
"diversity255","S66",23.4306353247424
"diversity256","S67_BDME190601162",22.9183881350664
"diversity257","S69_BDME190601164",22.8264154938925
"diversity258","S69",23.2444684119143
"diversity259","s7_FDMS190655339",23.1668068212123
"diversity260","S7",23.2530256089684
"diversity261","S70",22.6439110848299
"diversity262","S72_BDME190601167",22.8525910580872
"diversity263","S72",23.3767816521374
"diversity264","S73_BDME190601168",22.9016157024046
"diversity265","S75_BDME190601170",22.8447744795028
"diversity266","S75",21.2298546013586
"diversity267","S76_BDME190601171",22.9220935269686
"diversity268","S76",23.2822282940944
"diversity269","S77",23.3216341420945
"diversity270","s8_FDMS190655340",22.977358865079
"diversity271","S8",23.0520438495963
"diversity272","S9",23.2836795687594
"diversity273","S91",23.1755545579998
"diversity274","S92",23.4263336843391
"diversity275","SRR1029957",21.9982048768346
"diversity276","SRR1185960",23.9547603349607
"diversity277","SRR1924237",23.845526611889
"diversity278","SRR1926113",23.9841845732544
"diversity279","SRR1926121",23.6768972270305
"diversity280","SRR1926122",23.9704197490362
"diversity281","SRR1926147",21.0528824140584
"diversity282","SRR1926159",24.3766426479165
"diversity283","SRR1926200",24.463601069848
"diversity284","SRR1926201",24.4792741119382
"diversity285","SRR1955040",21.1703749313516
"diversity286","SRR2029815",20.2571529621108
"diversity287","SRR2029816",20.004785140403
"diversity288","SRR2029817",20.0549836453446
"diversity289","SRR2029827",23.8776765930675
"diversity290","SRR2029828",23.641407490456
"diversity291","SRR2029829",23.6904748958548
"diversity292","SRR2093878",22.5587956329508
"diversity293","SRR2952554",22.9935964120853
"diversity294","SRR2954705",22.9906965557727
"diversity295","SRR3439671",23.0633456601433
"diversity296","SRR3439678",23.3015330036361
"diversity297","SRR3452784",23.0403280638633
"diversity298","SRR3452787",22.7071773576289
"diversity299","SRR350471",24.1121397838415
"diversity300","SRR350474",24.2391383716139
"diversity301","SRR350500",24.2914194323613
"diversity302","SRR350513",23.7642381832988
"diversity303","SRR350639",24.040174519772
"diversity304","SRR350640",24.0148741639115
"diversity305","SRR350641",23.9642833498579
"diversity306","SRR350919",23.1686915957291
"diversity307","SRR350920",23.3904175879806
"diversity308","SRR350921",23.3307928951359
"diversity309","SRR350969",24.0835118787823
"diversity310","SRR350970",23.8697057945613
"diversity311","SRR351473",23.3616327800714
"diversity312","SRR351474",23.3604290080182
"diversity313","SRR3592108",22.1541475084253
"diversity314","SRR3601981",22.2859497438929
"diversity315","SRR3601982",22.1340993574039
"diversity316","SRR3601984",22.3592510817597
"diversity317","SRR3747750",18.3870787816892
"diversity318","SRR3747798",17.4642823524581
"diversity319","SRR3747811",17.9598125701815
"diversity320","SRR3747812",18.3519586103851
"diversity321","SRR3747847",18.0723544517973
"diversity322","SRR3954470",25.0175839184634
"diversity323","SRR3954471",24.9352827122663
"diversity324","SRR3954472",25.0042319152737
"diversity325","SRR3954473",25.0217950726549
"diversity326","SRR3954474",24.9930289264403
"diversity327","SRR3972293",23.0708677490164
"diversity328","SRR3973802",23.9107873992883
"diversity329","SRR3974375",23.1079633306893
"diversity330","SRR3974376",24.3319885695345
"diversity331","SRR3974377",25.2181892213544
"diversity332","SRR3974390",24.5211768420702
"diversity333","SRR3975574",24.4189285242065
"diversity334","SRR3975575",25.34832811782
"diversity335","SRR3975576",26.7698522051257
"diversity336","SRR3975577",27.2670257649069
"diversity337","SRR3977090",24.3193871203428
"diversity338","SRR3977097",23.6697338517319
"diversity339","SRR3977098",23.5883024009235
"diversity340","SRR3977124",24.1563645021891
"diversity341","SRR3977125",24.2070854845112
"diversity342","SRR3977135",24.1626692794356
"diversity343","SRR3977136",24.1135318851955
"diversity344","SRR3977137",23.6741351639324
"diversity345","SRR3977138",25.6283938168827
"diversity346","SRR3977139",23.9945656251071
"diversity347","SRR3977438",24.3192676351925
"diversity348","SRR3977439",24.2559777401516
"diversity349","SRR3978320",24.0425037351103
"diversity350","SRR3978321",24.072123928909
"diversity351","SRR3978361",24.4767706170278
"diversity352","SRR3978390",24.4748185534742
"diversity353","SRR3979409",24.3532083986547
"diversity354","SRR3979410",24.2944303037083
"diversity355","SRR3979411",23.7479408869691
"diversity356","SRR3979412",23.8712948865177
"diversity357","SRR3979413",24.1111429385716
"diversity358","SRR3979414",24.1065262953895
"diversity359","SRR3979453",23.9726623283713
"diversity360","SRR3979454",23.9350932115785
"diversity361","SRR3979490",23.829055682562
"diversity362","SRR3979491",23.8910486142151
"diversity363","SRR3979977",24.3243781458798
"diversity364","SRR3979978",24.3941408882672
"diversity365","SRR3981081",23.801698927825
"diversity366","SRR3981082",23.8155126435436
"diversity367","SRR3981189",23.5207298744645
"diversity368","SRR3981190",23.5486008148072
"diversity369","SRR3982067",24.0197224508271
"diversity370","SRR3982068",24.0565670825177
"diversity371","SRR3982074",23.7869062959767
"diversity372","SRR3982075",23.8122389474763
"diversity373","SRR3982751",25.0544284877182
"diversity374","SRR3984885",24.0250693424824
"diversity375","SRR3984893",23.7250021076796
"diversity376","SRR3984957",23.7904750215966
"diversity377","SRR3984960",21.3332883555058
"diversity378","SRR3984961",23.2990851385557
"diversity379","SRR3984962",21.9680015026531
"diversity380","SRR3984963",21.709458269103
"diversity381","SRR3985186",23.6156666368055
"diversity382","SRR3985188",23.4171859681643
"diversity383","SRR3985190",22.3488275901528
"diversity384","SRR3985369",23.1563177448592
"diversity385","SRR3985370",23.6227473066664
"diversity386","SRR3985376",24.3702822922485
"diversity387","SRR3985382",23.010931415771
"diversity388","SRR3985383",23.0590636510189
"diversity389","SRR3985384",22.8979940247942
"diversity390","SRR3985385",23.2339961230572
"diversity391","SRR3985388",22.4635678820152
"diversity392","SRR3985389",21.6162617172745
"diversity393","SRR3985390",20.1912651637611
"diversity394","SRR3985391",22.8879358220178
"diversity395","SRR3985394",22.7567627367243
"diversity396","SRR3985395",20.9363767019245
"diversity397","SRR3985396",20.4123687508089
"diversity398","SRR3985397",22.2854559725832
"diversity399","SRR3985418",22.7824915649102
"diversity400","SRR3985419",22.024865629083
"diversity401","SRR3985420",22.440396692618
"diversity402","SRR3985421",22.1641460127676
"diversity403","SRR3985424",22.2238540499338
"diversity404","SRR3985523",22.2412122297703
"diversity405","SRR3985524",21.7215515378297
"diversity406","SRR3985525",22.4946562457464
"diversity407","SRR3985526",22.373146790407
"diversity408","SRR3985527",22.6222579681234
"diversity409","SRR3985624",21.2250365652746
"diversity410","SRR3985625",21.9941279219162
"diversity411","SRR3988231",24.0364274115354
"diversity412","SRR3988262",23.9880137720873
"diversity413","SRR3988263",23.9915192433245
"diversity414","SRR3988264",24.2790835835786
"diversity415","SRR3988265",23.9399642996769
"diversity416","SRR3989121",19.9955332760523
"diversity417","SRR3989238",19.6907123855121
"diversity418","SRR3989239",19.5867397915216
"diversity419","SRR3989254",20.5363753896759
"diversity420","SRR3989257",20.9910323805575
"diversity421","SRR3989258",19.1421908792363
"diversity422","SRR3989449",22.160003312145
"diversity423","SRR3989460",26.003440345734
"diversity424","SRR3989461",27.6280918578553
"diversity425","SRR3989470",29.5927616645605
"diversity426","SRR3989471",27.0906365069783
"diversity427","SRR3989474",26.5476734773072
"diversity428","SRR3989477",24.1484469887281
"diversity429","SRR3989482",32.6251210597974
"diversity430","SRR3989487",32.0306880551632
"diversity431","SRR3989489",25.1694706879649
"diversity432","SRR3989490",24.0332535307867
"diversity433","SRR3989492",26.6195950883803
"diversity434","SRR3989493",32.3886131280995
"diversity435","SRR3989495",27.548969506127
"diversity436","SRR3989500",32.798624224723
"diversity437","SRR3989501",33.6514956021595
"diversity438","SRR3989508",32.2929917612449
"diversity439","SRR3989509",31.7825912131617
"diversity440","SRR3989516",23.7288292188281
"diversity441","SRR3989550",31.1589900156317
"diversity442","SRR3989555",33.2913767039314
"diversity443","SRR3989556",31.4316193708423
"diversity444","SRR3989561",29.7427910228926
"diversity445","SRR3989573",23.9040484881353
"diversity446","SRR3989576",23.829263424886
"diversity447","SRR3989606",23.9507310327725
"diversity448","SRR3989686",24.0573708912573
"diversity449","SRR3989699",24.246439721694
"diversity450","SRR3989700",24.1842403810202
"diversity451","SRR3989702",24.2271342706582
"diversity452","SRR3989705",24.0225184960353
"diversity453","SRR3989710",24.3540096832558
"diversity454","SRR3989711",31.7105319427168
"diversity455","SRR400291",23.9343286162435
"diversity456","SRR4021130",23.4120433999443
"diversity457","SRR4022091",22.5924919427399
"diversity458","SRR4022141",22.9103025513912
"diversity459","SRR4022146",23.8350287076585
"diversity460","SRR4022147",23.5715743096046
"diversity461","SRR4022148",23.3232780817411
"diversity462","SRR4022149",23.1329982318989
"diversity463","SRR4022155",22.7499771186454
"diversity464","SRR4022160",23.1199873620472
"diversity465","SRR4026198",23.9077078846574
"diversity466","SRR4026199",23.9248689021364
"diversity467","SRR4026200",23.8660482851177
"diversity468","SRR4026201",23.8893526453887
"diversity469","SRR4026202",23.728348684594
"diversity470","SRR4026203",23.7579639618577
"diversity471","SRR4026205",23.9467492623019
"diversity472","SRR4026206",23.8602691519817
"diversity473","SRR4026207",23.8701576417217
"diversity474","SRR4026208",23.9755063695553
"diversity475","SRR4026209",24.0413024988084
"diversity476","SRR4027028",23.3984926495699
"diversity477","SRR4027029",23.3770997345074
"diversity478","SRR4027030",23.3705941880343
"diversity479","SRR4027031",23.3721688555768
"diversity480","SRR4027034",23.4038279760921
"diversity481","SRR4027035",23.5954563802496
"diversity482","SRR4027036",23.6172174318499
"diversity483","SRR4027037",23.6811490331701
"diversity484","SRR4027038",23.6072833429239
"diversity485","SRR4027039",23.6348473360322
"diversity486","SRR4027040",23.5805468857137
"diversity487","SRR4027041",23.5572267396954
"diversity488","SRR4027042",23.5981861800342
"diversity489","SRR4027043",23.5748377899547
"diversity490","SRR4027044",23.3329574469141
"diversity491","SRR4027045",23.6034763294377
"diversity492","SRR4027046",23.6324891248128
"diversity493","SRR4027089",23.9682343166044
"diversity494","SRR4027090",24.0262469990632
"diversity495","SRR4027091",23.9795897118374
"diversity496","SRR4027092",23.9932845066778
"diversity497","SRR4027093",24.0333332797365
"diversity498","SRR4027094",24.0179140319928
"diversity499","SRR4027095",23.9715465405198
"diversity500","SRR4027098",23.9609490664606
"diversity501","SRR4027099",23.9341836153793
"diversity502","SRR4027100",23.8834192976227
"diversity503","SRR4027101",23.9617623593946
"diversity504","SRR4027102",23.8881765567682
"diversity505","SRR4027103",23.9021043980874
"diversity506","SRR4027104",23.8889134006124
"diversity507","SRR4027105",23.9088459485661
"diversity508","SRR4027107",23.902722210689
"diversity509","SRR4027108",23.9002378337228
"diversity510","SRR4027110",24.3244940744843
"diversity511","SRR4027111",24.3913465719484
"diversity512","SRR4027112",24.302442590329
"diversity513","SRR4027113",24.334951903485
"diversity514","SRR4027114",24.2747316843823
"diversity515","SRR4027115",24.2895523072027
"diversity516","SRR4027116",24.2992856667196
"diversity517","SRR4027121",24.1126020174425
"diversity518","SRR4027122",24.1772805964574
"diversity519","SRR4027123",24.0896263614417
"diversity520","SRR4027124",24.1244424770845
"diversity521","SRR4027125",24.1223654679416
"diversity522","SRR4027126",24.121728853125
"diversity523","SRR4027127",24.1026556707026
"diversity524","SRR4027129",24.2361737982864
"diversity525","SRR4027130",24.1858808312297
"diversity526","SRR4027131",24.2023053502522
"diversity527","SRR4027132",24.2484202205696
"diversity528","SRR4027133",24.2018845727798
"diversity529","SRR4027134",24.3215048411601
"diversity530","SRR4027567",23.2334361135996
"diversity531","SRR4027568",23.2192962086469
"diversity532","SRR4027569",23.3022696092297
"diversity533","SRR4027570",23.2648891836929
"diversity534","SRR4027571",23.2432303061158
"diversity535","SRR4027572",23.2232184831422
"diversity536","SRR4027573",23.1621539776815
"diversity537","SRR4027576",23.2787358792287
"diversity538","SRR4027577",23.3023208127591
"diversity539","SRR4027578",23.3064531399955
"diversity540","SRR4027579",23.2513709915297
"diversity541","SRR4027580",23.1998696193249
"diversity542","SRR4027581",23.4999548180584
"diversity543","SRR4027582",23.2320752279651
"diversity544","SRR4027610",23.0228064955554
"diversity545","SRR4027666",23.651833089821
"diversity546","SRR4027667",23.6645602065535
"diversity547","SRR4027668",23.6194437078276
"diversity548","SRR4027669",23.650168078795
"diversity549","SRR4027670",23.7038131339043
"diversity550","SRR4027671",23.705459263999
"diversity551","SRR4027672",23.667506926016
"diversity552","SRR4027795",24.2470734097747
"diversity553","SRR4027796",24.2549409356567
"diversity554","SRR4027797",24.1777622814718
"diversity555","SRR4027798",24.1483958150958
"diversity556","SRR4027799",24.280931139031
"diversity557","SRR4027800",24.2408947695019
"diversity558","SRR4027801",24.2557946966007
"diversity559","SRR4027826",20.6282247981557
"diversity560","SRR4027827",20.6655881035674
"diversity561","SRR4027828",20.6136658469476
"diversity562","SRR4027829",20.659142724695
"diversity563","SRR4027830",20.6212749962091
"diversity564","SRR4027831",20.9462480282588
"diversity565","SRR4027832",20.5585446501943
"diversity566","SRR4027934",23.0532392250378
"diversity567","SRR4027936",22.0995864548102
"diversity568","SRR4028118",23.1271043365171
"diversity569","SRR4028119",22.9915625194241
"diversity570","SRR4030077",23.8910679805531
"diversity571","SRR4030078",24.188822970999
"diversity572","SRR4030079",23.6975977448689
"diversity573","SRR4030080",23.6198473081541
"diversity574","SRR4030081",23.7863232936146
"diversity575","SRR4030082",24.1363258846408
"diversity576","SRR4030083",24.0747329988246
"diversity577","SRR4030084",24.3909437692443
"diversity578","SRR4030085",24.3174351046028
"diversity579","SRR4030086",24.3141497258573
"diversity580","SRR4030087",23.7951265624531
"diversity581","SRR4030088",23.6236612047044
"diversity582","SRR4030091",23.8068210655138
"diversity583","SRR4030096",25.8932968610314
"diversity584","SRR4030097",23.4219283278009
"diversity585","SRR4051794",24.5167725172117
"diversity586","SRR4051795",24.5250285746862
"diversity587","SRR4051812",24.9790752415201
"diversity588","SRR4241755",23.5504907814884
"diversity589","SRR4289280",23.7009195753412
"diversity590","SRR4289282",23.6281156709012
"diversity591","SRR4289283",23.7427143798939
"diversity592","SRR4289284",23.8420877220996
"diversity593","SRR4289285",23.8144116954783
"diversity594","SRR4289286",23.7416114140042
"diversity595","SRR4289287",23.7915467263531
"diversity596","SRR4289288",23.665681600575
"diversity597","SRR4289289",23.8653697391308
"diversity598","SRR4289290",23.7131791287501
"diversity599","SRR4289291",23.8157098543005
"diversity600","SRR4289292",23.6952964036027
"diversity601","SRR5035371",22.4744864457709
"diversity602","SRR5133178",18.4011941344441
"diversity603","SRR5133179",18.9793477839351
"diversity604","SRR5152881",24.6158084057792
"diversity605","SRR5177928",19.3756269234489
"diversity606","SRR5177929",19.4968659768053
"diversity607","SRR5195106",24.0398833152041
"diversity608","SRR5195107",23.3853666027962
"diversity609","SRR5195108",24.7261931346053
"diversity610","SRR5195109",23.683988014723
"diversity611","SRR5195110",24.8133709566147
"diversity612","SRR5195111",24.6293719360911
"diversity613","SRR5195112",23.7614017364449
"diversity614","SRR5195114",23.5804299465975
"diversity615","SRR5195115",23.6464023170156
"diversity616","SRR5195116",24.8905036228558
"diversity617","SRR5195117",23.8930408972831
"diversity618","SRR5195118",23.8955940218492
