"","sample","diversity"
"diversity619","SRR5195119",23.9435106148429
"diversity620","SRR5195121",24.4142018237306
"diversity621","SRR5195123",24.3394078535532
"diversity622","SRR5195124",23.8606226257875
"diversity623","SRR5195126",22.6108014192055
"diversity624","SRR5195127",23.7807310864548
"diversity625","SRR5195129",23.8524004870401
"diversity626","SRR5195131",24.2809515490162
"diversity627","SRR5195132",24.2054146098557
"diversity628","SRR5195133",23.771724117536
"diversity629","SRR5195135",23.855797852555
"diversity630","SRR5195136",24.0736009783158
"diversity631","SRR5195137",24.2100677323818
"diversity632","SRR5195138",24.6605943752864
"diversity633","SRR5195139",24.1776872182879
"diversity634","SRR5195140",24.3125551358672
"diversity635","SRR5195141",24.4894109773306
"diversity636","SRR5195142",24.5119118749052
"diversity637","SRR5195143",24.225272110179
"diversity638","SRR5195144",24.018702225135
"diversity639","SRR5195145",24.5778581990958
"diversity640","SRR5195146",24.4706295570383
"diversity641","SRR5195147",24.9257031143677
"diversity642","SRR5195148",23.7715498572796
"diversity643","SRR5204862",26.8818844382808
"diversity644","SRR5204863",24.3478305736668
"diversity645","SRR5205085",24.6672386918681
"diversity646","SRR5205807",23.5472520698974
"diversity647","SRR5205809",23.4102484889259
"diversity648","SRR5205814",23.9479107431382
"diversity649","SRR5206468",23.8471455094911
"diversity650","SRR5207236",23.3583804464963
"diversity651","SRR5207237",23.9296252414292
"diversity652","SRR5207244",23.5804726028732
"diversity653","SRR5207245",22.7364255180174
"diversity654","SRR5207247",22.8034306025843
"diversity655","SRR5207248",23.751165093563
"diversity656","SRR5207249",22.6209375851638
"diversity657","SRR5207253",23.5576283474638
"diversity658","SRR5207302",23.4100403206691
"diversity659","SRR5207342",24.3774920134118
"diversity660","SRR5207344",24.6145059619408
"diversity661","SRR5207566",24.3364006392696
"diversity662","SRR5207569",24.3679987820269
"diversity663","SRR5207629",24.2067945840065
"diversity664","SRR5208282",22.6895149341289
"diversity665","SRR5208283",22.4123704938245
"diversity666","SRR5208337",22.1023234328751
"diversity667","SRR5209019",18.0061144611947
"diversity668","SRR5209020",18.3540693171579
"diversity669","SRR5209021",17.913792745303
"diversity670","SRR5209022",17.4756359714768
"diversity671","SRR5209023",17.2672318603137
"diversity672","SRR5209025",18.7646271082055
"diversity673","SRR5209026",18.3821901303608
"diversity674","SRR5209027",18.0541280977596
"diversity675","SRR5209028",18.2176158681585
"diversity676","SRR5209029",20.6068100868507
"diversity677","SRR5210212",25.5396053093869
"diversity678","SRR5210214",23.2991197567811
"diversity679","SRR5210470",22.2736510477625
"diversity680","SRR5213075",24.2460801997958
"diversity681","SRR5213076",24.0443883762124
"diversity682","SRR5213078",24.0758894633823
"diversity683","SRR5213079",23.9881242300667
"diversity684","SRR5213080",23.599592125681
"diversity685","SRR5213082",23.8296868718527
"diversity686","SRR5213083",23.6953008876576
"diversity687","SRR5213592",23.6701884962621
"diversity688","SRR5213593",23.3464862899154
"diversity689","SRR5213594",22.8302312712364
"diversity690","SRR5213595",24.0606766900126
"diversity691","SRR5213596",23.7275005129943
"diversity692","SRR5213597",23.0180420850416
"diversity693","SRR5214707",21.4446494238242
"diversity694","SRR5214708",21.0646908303838
"diversity695","SRR5215203",23.1251735924889
"diversity696","SRR5215204",23.1239632117104
"diversity697","SRR5215207",23.4722219852326
"diversity698","SRR5215213",23.7123444806614
"diversity699","SRR5215216",23.5950096371051
"diversity700","SRR5215217",23.2537897930994
"diversity701","SRR5215218",23.4807386311799
"diversity702","SRR5215467",24.6022363139601
"diversity703","SRR5215468",24.58113247043
"diversity704","SRR5215469",24.0349659077882
"diversity705","SRR5215470",24.8969780587207
"diversity706","SRR5215471",24.3954348106828
"diversity707","SRR5215472",23.8005048388084
"diversity708","SRR5215473",24.5149582100758
"diversity709","SRR5215474",24.9484810166206
"diversity710","SRR5215475",24.8598023528072
"diversity711","SRR5215510",24.8979560294446
"diversity712","SRR5215545",23.5641201760465
"diversity713","SRR5215813",24.4262695785873
"diversity714","SRR5215831",24.1597922662115
"diversity715","SRR5216110",23.7744797514329
"diversity716","SRR5216117",23.219638649165
"diversity717","SRR5246127",24.3847350209684
"diversity718","SRR5246500",24.363629611703
"diversity719","SRR5256712",22.2118999310512
"diversity720","SRR5256714",23.9866721087888
"diversity721","SRR5256884",22.9886980735806
"diversity722","SRR5256885",24.0622567609328
"diversity723","SRR5256886",23.1843347404439
"diversity724","SRR5258705",23.6784018293369
"diversity725","SRR5258706",23.1794175322687
"diversity726","SRR5258707",23.8435340219071
"diversity727","SRR5258708",23.474522610495
"diversity728","SRR5259839",24.1311459701222
"diversity729","SRR5260221",22.7509098542726
"diversity730","SRR5260370",23.0031361183147
"diversity731","SRR5262244",23.9357781847381
"diversity732","SRR5262245",24.600178559479
"diversity733","SRR5262246",24.6074580156927
"diversity734","SRR5262247",24.2052191580062
"diversity735","SRR5262248",23.8647916301203
"diversity736","SRR5262249",23.8971576480139
"diversity737","SRR5262250",24.5021070913289
"diversity738","SRR5262252",24.2856090274525
"diversity739","SRR5262254",23.9655499334477
"diversity740","SRR5269546",24.2934107701853
"diversity741","SRR5271154",24.2723996667239
"diversity742","SRR5271155",23.8149779596112
"diversity743","SRR5271156",23.9176018339633
"diversity744","SRR5271157",22.3913840021817
"diversity745","SRR5271163",23.6906438493243
"diversity746","SRR5271165",22.5578602777328
"diversity747","SRR5271166",22.1206477746322
"diversity748","SRR5271167",24.0380562331787
"diversity749","SRR5271168",23.9192328289492
"diversity750","SRR5271169",24.1953021167959
"diversity751","SRR5271170",24.0918419514519
"diversity752","SRR5271193",27.3772570177641
"diversity753","SRR5272158",23.7857618171669
"diversity754","SRR5272160",24.1810425383422
"diversity755","SRR5272171",23.8084103168284
"diversity756","SRR5277367",24.0761137258017
"diversity757","SRR5436189",25.8883809042823
"diversity758","SRR5436305",26.9390171685356
"diversity759","SRR5436309",23.7685236925575
"diversity760","SRR5436853",26.0504315539239
"diversity761","SRR5437016",23.3159037780475
"diversity762","SRR5437588",23.7583772724188
"diversity763","SRR5437660",23.5890043031807
"diversity764","SRR5437762",23.7774625083631
"diversity765","SRR5437763",24.2986960360914
"diversity766","SRR5437764",24.3154581721346
"diversity767","SRR5437773",22.9233372700777
"diversity768","SRR5437867",22.8230569322088
"diversity769","SRR5437868",26.7266009135533
"diversity770","SRR5437870",23.3498891949403
"diversity771","SRR5437879",22.9397234591852
"diversity772","SRR5437899",23.0809540909787
"diversity773","SRR5438034",22.944514636367
"diversity774","SRR5438045",24.3933710110734
"diversity775","SRR5438046",23.5246259188135
"diversity776","SRR5438067",23.7104716444134
"diversity777","SRR5438093",22.9226835072673
"diversity778","SRR5438094",22.7858218320318
"diversity779","SRR5438105",23.7768128172384
"diversity780","SRR5438128",23.5743634433138
"diversity781","SRR5438132",23.2806339763213
"diversity782","SRR5438270",24.1115699833921
"diversity783","SRR5438309",23.4611703653707
"diversity784","SRR5438445",23.0396538786673
"diversity785","SRR5438477",23.9075031659219
"diversity786","SRR5438552",23.4152634731938
"diversity787","SRR5438874",23.8204901855486
"diversity788","SRR5438876",23.2163463688504
"diversity789","SRR5439155",22.9403357866211
"diversity790","SRR5439720",22.7165862632308
"diversity791","SRR5450873",24.1411367172107
"diversity792","SRR5467141",22.8431006097741
"diversity793","SRR5467142",22.6266139562439
"diversity794","SRR5468417",23.4595052132174
"diversity795","SRR5499425",24.3787650592031
"diversity796","SRR5499426",24.2388452363402
"diversity797","SRR5499427",24.3049395454877
"diversity798","SRR5499433",24.0115744963343
"diversity799","SRR5579859",22.5283478241578
"diversity800","SRR5579863",23.4925994231346
"diversity801","SRR5579864",23.5968630328051
"diversity802","SRR5579871",22.3950978333316
"diversity803","SRR5579872",22.8824166689953
"diversity804","SRR5579875",18.7346693398678
"diversity805","SRR5579883",19.4477124646598
"diversity806","SRR5579884",20.044311088858
"diversity807","SRR5579885",20.31894478723
"diversity808","SRR5580765",24.3536204439942
"diversity809","SRR5581483",21.6487402804547
"diversity810","SRR5582390",23.1308542499049
"diversity811","SRR5582436",23.6847310486065
"diversity812","SRR5639170",22.8548276932647
"diversity813","SRR5659263",18.8828321432199
"diversity814","SRR5660397",17.9795281413148
"diversity815","SRR5660398",17.9565430026172
"diversity816","SRR5664279",22.706883383643
"diversity817","SRR5664280",20.1649069582157
"diversity818","SRR5665213",21.3400976439791
"diversity819","SRR5665647",20.1464603076166
"diversity820","SRR5665648",18.6091325154711
"diversity821","SRR5665809",17.9915981330438
"diversity822","SRR5665811",21.2916338967894
"diversity823","SRR5674476",19.8963130916632
"diversity824","SRR5674536",18.0596118582579
"diversity825","SRR5678805",18.9361339586252
"diversity826","SRR5678806",18.966992978411
"diversity827","SRR5678807",19.084053805372
"diversity828","SRR5678808",18.9337438820856
"diversity829","SRR5678809",22.0641259113228
"diversity830","SRR5678810",22.1600248786724
"diversity831","SRR5678811",18.8312748984796
"diversity832","SRR5678812",18.8672816608327
"diversity833","SRR5678813",22.0830010087752
"diversity834","SRR5678814",22.7903397204769
"diversity835","SRR5678815",22.799012535828
"diversity836","SRR5678816",22.8140982426841
"diversity837","SRR5680860",18.9421596568425
"diversity838","SRR5687767",26.4883469070172
"diversity839","SRR5687768",24.4806289313538
"diversity840","SRR5688500",24.2915755013184
"diversity841","SRR5688572",24.5727231506472
"diversity842","SRR5689334",25.0625362677328
"diversity843","SRR5690242",24.5075129943973
"diversity844","SRR5690348",24.2492959620985
"diversity845","SRR5690349",24.9838659420844
"diversity846","SRR5690554",19.7160714924673
"diversity847","SRR5690606",22.1922851043909
"diversity848","SRR5690625",18.801529873753
"diversity849","SRR5699024",18.4030642572627
"diversity850","SRR5712664",22.7737120357055
"diversity851","SRR5712671",23.6996559147993
"diversity852","SRR5712672",23.5902314663785
"diversity853","SRR5712675",23.8357117188188
"diversity854","SRR5712691",23.4296514396083
"diversity855","SRR5713101",23.0358355538654
"diversity856","SRR5713226",23.161845642476
"diversity857","SRR5829540",22.2490980378107
"diversity858","SRR5829542",20.6010956631516
"diversity859","SRR5829543",21.6544630904099
"diversity860","SRR5829544",21.8093533778954
"diversity861","SRR5829545",21.4667274326772
"diversity862","SRR5829546",21.6433852805716
"diversity863","SRR5829547",21.9696159464985
"diversity864","SRR5829548",21.2789041221711
"diversity865","SRR5829549",22.4240819436952
"diversity866","SRR5829550",21.8080926202819
"diversity867","SRR5829696",23.0165374861873
"diversity868","SRR5881195",23.7328184706004
"diversity869","SRR5881227",24.2866585965833
"diversity870","SRR5881275",24.3301636188441
"diversity871","SRR5881293",22.9696382481188
"diversity872","SRR5881296",23.1442084208748
"diversity873","SRR5881392",24.1234333845871
"diversity874","SRR5881394",24.1361662651634
"diversity875","SRR5881396",23.1721683030947
"diversity876","SRR5881397",23.7791066788812
"diversity877","SRR5881398",23.9312895074906
"diversity878","SRR5881409",23.6660441836075
"diversity879","SRR5881628",23.610946663009
"diversity880","SRR5882672",24.0036195390072
"diversity881","SRR5882724",23.6353705691793
"diversity882","SRR5882757",24.3332343130407
"diversity883","SRR5882762",23.6134086302384
"diversity884","SRR5915952",23.8313855850718
"diversity885","SRR5915956",23.8400098622543
"diversity886","SRR5915997",23.2312396796294
"diversity887","SRR5916035",23.8891564495782
"diversity888","SRR5916087",24.2857690686823
"diversity889","SRR5916093",23.5099504312594
"diversity890","SRR5916120",22.3959768393931
"diversity891","SRR5916140",23.3460913836555
"diversity892","SRR5916164",24.0446897292616
"diversity893","SRR5916175",23.274294942564
"diversity894","SRR5916184",24.2505894318041
"diversity895","SRR5916217",23.6975622590042
"diversity896","SRR5916285",23.713084509332
"diversity897","SRR5916294",23.7467357629118
"diversity898","SRR5916310",23.8892826282821
"diversity899","SRR5916354",23.5519236470035
"diversity900","SRR5916420",23.2270526297299
"diversity901","SRR5916425",23.3703985298022
"diversity902","SRR5918911",24.9981077529748
"diversity903","SRR5918912",24.9599439830406
"diversity904","SRR5918913",24.1441234340554
"diversity905","SRR5918914",23.5308366643501
"diversity906","SRR5918916",22.7267091574894
"diversity907","SRR5918921",23.4790276383616
"diversity908","SRR5918944",24.0564775820573
"diversity909","SRR5918954",23.1699932225232
"diversity910","SRR5918955",23.643126131559
"diversity911","SRR5918958",22.8465226061076
"diversity912","SRR5918970",23.5167768869148
"diversity913","SRR5918978",23.8635685017969
"diversity914","SRR5918986",23.359841017222
"diversity915","SRR5918988",23.7078499987972
"diversity916","SRR5918989",23.8273226631712
"diversity917","SRR5918992",23.8855069209511
"diversity918","SRR5918993",23.7509082119014
"diversity919","SRR5918994",23.679297093694
"diversity920","SRR5918995",23.6612111450347
"diversity921","SRR5918996",24.0355695338257
"diversity922","SRR5918997",24.1966753864519
"diversity923","SRR5918998",24.1951057403127
"diversity924","SRR5919014",24.4364312424665
"diversity925","SRR5919015",24.1583784163351
"diversity926","SRR5919096",22.2378905543924
"diversity927","SRR5919098",23.6347166912422
"diversity928","SRR5919099",24.1139587895044
"diversity929","SRR5919101",23.8318965397615
"diversity930","SRR5919103",23.9377945079778
"diversity931","SRR5919105",23.5452064311541
"diversity932","SRR5919106",24.022203612092
"diversity933","SRR5919107",24.4612886091278
"diversity934","SRR5919108",24.3125363325667
"diversity935","SRR5919109",24.1989067012954
"diversity936","SRR5919112",24.5899588467503
"diversity937","SRR5919159",23.5484468571488
"diversity938","SRR5919168",23.974399192341
"diversity939","SRR5919197",24.0252184491924
"diversity940","SRR5919198",23.9266780243244
"diversity941","SRR5919199",24.4194027996692
"diversity942","SRR5919200",23.1997497056508
"diversity943","SRR5919201",24.3909404680983
"diversity944","SRR5919202",24.5041096005998
"diversity945","SRR5919204",24.2601114921215
"diversity946","SRR5919206",25.2562235291135
"diversity947","SRR5919212",23.887550452213
"diversity948","SRR5919215",24.1986753302644
"diversity949","SRR5919221",23.6627906287144
"diversity950","SRR5919227",23.8729928234433
"diversity951","SRR5919245",24.1025281501619
"diversity952","SRR5919246",23.8081047088406
"diversity953","SRR5919249",24.270902416761
"diversity954","SRR5919288",23.9527974272674
"diversity955","SRR5919342",23.9188295452663
"diversity956","SRR5919343",24.0506902321744
"diversity957","SRR5919346",23.4329597642372
"diversity958","SRR5923059",23.5900113173947
"diversity959","SRR5923187",23.7360953818541
"diversity960","SRR5947199",24.0582772641322
"diversity961","SRR5947207",23.9507279029876
"diversity962","SRR5947208",23.979522098638
"diversity963","SRR5947209",24.3410847738585
"diversity964","SRR6056278",23.653840864758
"diversity965","SRR6056297",21.7178545391818
"diversity966","SRR6056298",22.7485634184915
"diversity967","SRR6058998",23.6475706636084
"diversity968","SRR6059058",24.2431163870497
"diversity969","SRR6152564",20.8774670875865
"diversity970","SRR6181342",24.5026742299326
"diversity971","SRR6181350",24.797214560034
"diversity972","SRR6184192",23.1545438562087
"diversity973","SRR6184671",24.9064353022491
"diversity974","SRR6185295",25.0376434922474
"diversity975","SRR6185312",23.8332885370075
"diversity976","SRR6185369",24.6332059115994
"diversity977","SRR6185436",25.0766864018264
"diversity978","SRR6185437",23.1815000118579
"diversity979","SRR6185503",24.756801505529
"diversity980","SRR6185512",23.7968819264765
"diversity981","SRR6186713",24.338738056922
"diversity982","SRR6186997",24.4381610967814
"diversity983","SRR6187048",24.2114453528447
"diversity984","SRR6187200",24.2501554027762
"diversity985","SRR6187201",23.9139419942617
"diversity986","SRR6187397",24.3503494627938
"diversity987","SRR6187398",24.3171135612947
"diversity988","SRR6187399",24.268476043702
"diversity989","SRR6187400",24.0718897569578
"diversity990","SRR6187401",24.4410306138642
"diversity991","SRR6187402",24.4522329268375
"diversity992","SRR6187431",24.4114139859229
"diversity993","SRR6187455",24.3354848647638
"diversity994","SRR6187549",24.635191671894
"diversity995","SRR6187551",24.3292884081418
"diversity996","SRR6188470",24.2779548083732
"diversity997","SRR6188471",24.1527217637402
"diversity998","SRR6188472",24.3325562915735
"diversity999","SRR6188473",24.2507449640959
"diversity1000","SRR6188474",24.5115024463838
"diversity1001","SRR6188508",24.2983015973018
"diversity1002","SRR6188509",24.4235341094114
"diversity1003","SRR6188602",24.0326547569581
"diversity1004","SRR6188768",24.4493847356808
"diversity1005","SRR6193119",21.1924216265965
"diversity1006","SRR6195256",24.448300697985
"diversity1007","SRR6195952",24.7486701275817
"diversity1008","SRR6195974",21.3202941039602
"diversity1009","SRR6195975",21.3377476887922
"diversity1010","SRR6201747",24.6045316204489
"diversity1011","SRR6201865",23.4579723223206
"diversity1012","SRR6201908",24.0585263911643
"diversity1013","SRR6201927",23.8663757216612
"diversity1014","SRR6201981",24.2048983866435
"diversity1015","SRR6201982",24.49391199104
"diversity1016","SRR6201984",24.164879532683
"diversity1017","SRR6201985",24.4927993388446
"diversity1018","SRR6201986",24.702391361509
"diversity1019","SRR6201987",24.2593121481074
"diversity1020","SRR6201988",24.5880686861164
"diversity1021","SRR6201989",24.517720160747
"diversity1022","SRR6201990",25.1042951302495
"diversity1023","SRR6201991",24.4216969971676
"diversity1024","SRR6201992",24.3701731228067
"diversity1025","SRR6201993",24.4257955342252
"diversity1026","SRR6201994",24.5416550809205
"diversity1027","SRR6201995",24.5838903970606
"diversity1028","SRR6201998",24.1655366731585
"diversity1029","SRR6201999",24.6407088443145
"diversity1030","SRR6202000",24.2109477392117
"diversity1031","SRR6202007",24.435595848512
"diversity1032","SRR6202008",24.6524552195043
"diversity1033","SRR6202011",23.5853007404083
"diversity1034","SRR6202012",24.337815222816
"diversity1035","SRR6202019",27.8932392665656
"diversity1036","SRR6202020",24.8932823656968
"diversity1037","SRR6202021",23.5751460408609
"diversity1038","SRR6202022",23.9859870795357
"diversity1039","SRR6202023",23.6727777851214
"diversity1040","SRR6202030",25.2027544465481
"diversity1041","SRR6202034",23.4182882587619
"diversity1042","SRR6202035",24.0802552092819
"diversity1043","SRR6202040",24.9170632762803
"diversity1044","SRR6202041",23.1642530659469
"diversity1045","SRR6202042",24.4527324021111
"diversity1046","SRR6202043",23.7496190157142
"diversity1047","SRR6202044",26.3067078960266
"diversity1048","SRR6202045",23.6411141548985
"diversity1049","SRR6202046",24.0294261021826
"diversity1050","SRR6202047",23.5959116207593
"diversity1051","SRR6202048",23.9317763349774
"diversity1052","SRR6202049",23.4426710837755
"diversity1053","SRR6202050",23.1264122974377
"diversity1054","SRR6202140",24.8727533975002
"diversity1055","SRR6202142",23.9391286185798
"diversity1056","SRR6202158",23.6901729807151
"diversity1057","SRR6202161",26.226720419043
"diversity1058","SRR6202162",23.9201923870127
"diversity1059","SRR6202163",25.5950367265588
"diversity1060","SRR6202165",23.4129729174371
"diversity1061","SRR6202166",25.1833134036472
"diversity1062","SRR6202167",23.5411418156817
"diversity1063","SRR6202171",23.400221814514
"diversity1064","SRR6202451",24.7519984948026
"diversity1065","SRR6202453",23.2067340301854
"diversity1066","SRR6202521",23.4084079423894
"diversity1067","SRR6202522",23.0194910276227
"diversity1068","SRR6202789",23.8342105451212
"diversity1069","SRR6202790",24.3321378820593
"diversity1070","SRR6202795",26.2598441629974
"diversity1071","SRR6204780",23.8831482007179
"diversity1072","SRR6241674",23.3843008837658
"diversity1073","SRR6266403",22.7808301644347
"diversity1074","SRR6266478",23.1350556793727
"diversity1075","SRR6266480",23.0856596541987
"diversity1076","SRR6266508",22.0095050688253
"diversity1077","SRR6266536",22.2466347779028
"diversity1078","SRR6266542",21.8379291733728
"diversity1079","SRR6266545",21.8590704510911
"diversity1080","SRR6266566",22.5392010514872
"diversity1081","SRR6266567",23.1943003137425
"diversity1082","SRR6266568",22.4928076940105
"diversity1083","SRR6266576",23.3482872701337
"diversity1084","SRR6266700",22.9372677413119
"diversity1085","SRR6266849",23.0982623768145
"diversity1086","SRR6266851",22.439550906493
"diversity1087","SRR6293899",23.2460076264007
"diversity1088","SRR6293900",23.2266206063649
"diversity1089","SRR6476469",24.6252379785225
"diversity1090","SRR6476619",24.6366879035755
"diversity1091","SRR6476620",24.7213197497209
"diversity1092","SRR6476646",24.5539172275396
"diversity1093","SRR6476660",24.6579418392076
"diversity1094","SRR6478672",24.6412601840495
"diversity1095","SRR6478735",24.6004961718575
"diversity1096","SRR6478736",24.5637993697069
"diversity1097","SRR6478752",24.5126028829819
"diversity1098","SRR6797243",23.2894169983822
"diversity1099","SRR6797244",23.1615775816243
"diversity1100","SRR6797246",23.2982496317537
"diversity1101","SRR6831574",24.0373748431322
"diversity1102","SRR6956465",24.3853670333211
"diversity1103","SRR6956476",24.4325079412448
"diversity1104","SRR6956671",24.0946713148142
"diversity1105","SRR6956731",24.2910911024079
"diversity1106","SRR6958124",25.4192729694826
"diversity1107","SRR6958471",24.8229425902656
"diversity1108","SRR6958472",24.4834081148126
"diversity1109","SRR6958552",24.1387594094021
"diversity1110","SRR7003761",23.5258595385159
"diversity1111","SRR7003762",22.9183905054335
"diversity1112","SRR7003763",20.5096617509203
"diversity1113","SRR7003764",23.1324916870134
"diversity1114","SRR7003765",23.2517573301693
"diversity1115","SRR7003766",23.2747399630279
"diversity1116","SRR7003767",19.7531388315857
"diversity1117","SRR7003810",21.0325402026315
"diversity1118","SRR7004144",21.7644083813611
"diversity1119","SRR7004167",22.2839750062074
"diversity1120","SRR7004174",22.7032925344893
"diversity1121","SRR7004194",22.3219344217815
"diversity1122","SRR7004195",23.5409583461941
"diversity1123","SRR7004196",23.3543800053224
"diversity1124","SRR7004197",22.934822849902
"diversity1125","SRR7004198",24.4261915004525
"diversity1126","SRR7004199",24.121364541668
"diversity1127","SRR7004200",23.2218992943601
"diversity1128","SRR7004201",24.0174068261974
"diversity1129","SRR7004202",24.2284820959819
"diversity1130","SRR7004203",23.0591248925407
"diversity1131","SRR7004204",23.5706277256564
"diversity1132","SRR7004205",23.0218399778527
"diversity1133","SRR7004206",24.4929240901812
"diversity1134","SRR7004333",24.457651023374
"diversity1135","SRR7004334",24.8543379215177
"diversity1136","SRR7004335",24.5124629735283
"diversity1137","SRR7004337",23.4472573014112
"diversity1138","SRR7004338",24.0998477857989
"diversity1139","SRR7004339",23.852837536377
"diversity1140","SRR7004340",24.1668997244352
"diversity1141","SRR7004342",23.4982232296468
"diversity1142","SRR7004343",22.9831239983592
"diversity1143","SRR7004344",22.9625761401113
"diversity1144","SRR7004345",24.7206857281721
"diversity1145","SRR7004346",24.228562827966
"diversity1146","SRR7004347",24.9860512853565
"diversity1147","SRR7006909",23.8130678354913
"diversity1148","SRR7010302",24.2675390576891
"diversity1149","SRR7010303",24.3218398079031
"diversity1150","SRR7010524",28.4492519168849
"diversity1151","SRR7010525",27.2301139636036
"diversity1152","SRR7010528",24.2884016437686
"diversity1153","SRR7010529",24.209882408331
"diversity1154","SRR7011027",28.039636403493
"diversity1155","SRR7011028",24.4386984454141
"diversity1156","SRR7011568",27.5405362978402
"diversity1157","SRR7011569",26.4519245123554
"diversity1158","SRR7011570",24.1640764111337
"diversity1159","SRR7011571",24.1139540738284
"diversity1160","SRR7011573",24.207531423214
"diversity1161","SRR7011574",23.9939720971379
"diversity1162","SRR7011725",24.0149220842085
"diversity1163","SRR7011726",24.0226862424553
"diversity1164","SRR7011942",24.8307614252729
"diversity1165","SRR7011943",24.6192683357807
"diversity1166","SRR7011944",28.1545722916411
"diversity1167","SRR7011945",27.9489303813011
"diversity1168","SRR7011951",24.0595100453331
"diversity1169","SRR7011953",29.2287188769175
"diversity1170","SRR7011954",31.2563924550097
"diversity1171","SRR7011960",23.9932618691065
"diversity1172","SRR7011961",24.0020369131959
"diversity1173","SRR7011963",26.0972846100043
"diversity1174","SRR7011964",25.0148711636403
"diversity1175","SRR7011991",24.5471056297132
"diversity1176","SRR7011995",23.1220633141151
"diversity1177","SRR7011996",23.1580034674216
"diversity1178","SRR7011997",27.4619092985294
"diversity1179","SRR7011999",32.1373932269778
"diversity1180","SRR7012000",31.4573011179869
"diversity1181","SRR7012006",22.998152230449
"diversity1182","SRR7012007",23.0231294145939
"diversity1183","SRR7012429",24.403131641755
"diversity1184","SRR7012430",24.353650150275
"diversity1185","SRR7012453",28.2163287176688
"diversity1186","SRR7012454",30.8836781045563
"diversity1187","SRR7012891",23.8014656306032
"diversity1188","SRR7012892",23.6864912972578
"diversity1189","SRR7012999",24.404523537995
"diversity1190","SRR7013000",24.3686814060267
"diversity1191","SRR7013837",24.74217720209
"diversity1192","SRR7013838",24.7092720328166
"diversity1193","SRR7013839",24.1531227335952
"diversity1194","SRR7013844",24.8541037040991
"diversity1195","SRR7015784",23.962475995602
"diversity1196","SRR7015785",23.9162473671035
"diversity1197","SRR7015786",24.5478714343154
"diversity1198","SRR7015787",24.4073312353804
"diversity1199","SRR7015886",23.4874470982965
"diversity1200","SRR7015887",23.524583811189
"diversity1201","SRR7015888",27.0791320883695
"diversity1202","SRR7015889",26.7666923778726
"diversity1203","SRR7015890",23.7335276336968
"diversity1204","SRR7015891",23.7071087065811
"diversity1205","SRR7015892",23.6415880869917
"diversity1206","SRR7015893",23.5970877847964
"diversity1207","SRR7015916",24.9167146840622
"diversity1208","SRR7015917",24.5183527511583
"diversity1209","SRR7015918",27.2670912368625
"diversity1210","SRR7015919",26.6571440756341
"diversity1211","SRR7015921",23.7349250955724
"diversity1212","SRR7026199",23.7194603613403
